No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명),법인
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상,법인
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
205,2017년,형법범,강력범죄(흉악),강도,강도치상,19,0.04,17,89.47368421,26,25,1,0,0
206,2017년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,358",2.64,"1,226",90.27982327,"1,263","1,045",218,0,0
207,2017년,형법범,강력범죄(흉악),방화,방화치사,12,0.02,10,83.33333333,13,11,2,0,0
208,2017년,형법범,강력범죄(흉악),방화,방화치상,22,0.04,20,90.90909091,24,20,4,0,0
209,2017년,형법범,강력범죄(흉악),방화,일반방화,"1,324",2.58,"1,196",90.33232628,"1,226","1,014",212,0,0
210,2017년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"32,824",63.91,"31,585",96.22532293,"32,837","31,905",829,103,4
211,2017년,형법범,강력범죄(흉악),성폭력,간음,268,0.52,265,98.88059701,327,320,6,1,0
212,2017년,형법범,강력범죄(흉악),성폭력,강간,"5,287",10.29,"5,181",97.99508228,"5,975","5,883",79,13,0
213,2017년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",144,0.28,141,97.91666667,187,184,3,0,0
214,2017년,형법범,강력범죄(흉악),성폭력,강간등살인,7,0.01,7,100,7,7,0,0,0
215,2017년,형법범,강력범죄(흉악),성폭력,강간등상해,223,0.43,217,97.30941704,225,222,3,0,0
216,2017년,형법범,강력범죄(흉악),성폭력,강간등치사,0,0.00,0,0,0,0,0,0,0
217,2017년,형법범,강력범죄(흉악),성폭력,강간등치상,493,0.96,486,98.5801217,526,517,9,0,0
218,2017년,형법범,강력범죄(흉악),성폭력,강제추행,"15,981",31.11,"15,389",96.29560103,"16,414","15,911",474,29,3
219,2017년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"2,085",4.06,"1,936",92.85371703,"1,968","1,954",12,2,0
220,2017년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,422,0.82,404,95.73459716,401,397,4,0,0
221,2017년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"6,615",12.88,"6,366",96.23582766,"5,507","5,291",167,49,1
