통계년도,범죄종류,발생건수,발생비,검거건수,검거율(%),남자,여자,미상
2019년,폭행치사,72,0.14,73,101.389,65,27,6
2019년,폭행치상,1662,3.21,1622,97.593,1789,389,9
2019년,국외이송,1,0.0,1,100.0,1,0,0
2019년,부녀매매,1,0.0,1,100.0,0,1,0
2019년,수수/은닉,0,0.0,0,0.0,2,0,0
2019년,약취/유인,253,0.49,226,89.328,227,107,3
2019년,"약취와유인상해,치상,살인,치사",1,0.0,1,100.0,2,1,0
2019년,인신매매,4,0.01,3,75.0,13,9,2
2019년,감금,1394,2.7,1304,93.544,1714,484,52
2019년,감금치사,0,0.0,0,0.0,0,0,0
2019년,감금치상,89,0.17,85,95.506,143,26,1
2019년,체포,105,0.2,63,60.0,61,16,40
2019년,체포치사,0,0.0,0,0.0,0,0,0
2019년,체포치상,3,0.01,2,66.667,9,0,0
2019년,"폭력행위등(단체등의구성,활동)",169,0.33,161,95.266,436,61,5
2019년,"폭력행위등(손괴,강요,주거침입등)",853,1.65,810,94.959,2396,780,72
