room_sigudong,room_number,longitude,latitude,security_score,security_fac,room_area,room_contract,building_type,room_price,URL
서울특별시 강서구 화곡동,11784337,126.84852671876,37.531029186791,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,19.69,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784337
서울특별시 관악구 신림동,11781165,126.93699283477,37.469761767043,12,현관보안 / CCTV,16.53,월세,단독주택,400/39,https://www.peterpanz.com/house/11781165
서울특별시 강서구 화곡동,11784333,126.844034884,37.529597364024,20,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,40.18,전세,제2종 근린생활시설,1억8000,https://www.peterpanz.com/house/11784333
서울특별시 강서구 화곡동,11784331,126.83893553179,37.534732576768,13,현관보안 / 카드키 / 방범창,33.33,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784331
서울특별시 양천구 신월동,11781158,126.848331833358,37.5258746584892,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,46.96,전세,공동주택,4억5000,https://www.peterpanz.com/house/11781158
서울특별시 관악구 봉천동,11781156,126.94501772929,37.484565063767,18,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,33.54,전세,공동주택,2억1000,https://www.peterpanz.com/house/11781156
서울특별시 동작구 상도동,11781151,126.934722045054,37.5044489386435,20,현관보안 / CCTV / 인터폰 / 비디오폰 / 방범창,23.14,월세,단독주택,1000/35,https://www.peterpanz.com/house/11781151
서울특별시 동대문구 장안동,11784329,127.066549844595,37.5684999862215,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,42.66,전세,공동주택,3억9800,https://www.peterpanz.com/house/11784329
서울특별시 강서구 화곡동,11784328,126.83615333231,37.541878714963,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,29.14,전세,공동주택,1억8000,https://www.peterpanz.com/house/11784328
서울특별시 구로구 가리봉동,11781146,126.892450608688,37.4796061771814,1,-,19.83,월세,단독주택,100/35,https://www.peterpanz.com/house/11781146
서울특별시 금천구 독산동,11781141,126.892836835997,37.4658947795782,14,현관보안 / CCTV / 비디오폰,29.73,월세,단독주택,1000/70,https://www.peterpanz.com/house/11781141
서울특별시 양천구 신월동,11784324,126.82945892968,37.534130398868,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,68.58,전세,공동주택,2억1000,https://www.peterpanz.com/house/11784324
서울특별시 광진구 구의동,11784321,127.084615331333,37.5402594462697,3,인터폰,39.66,월세,단독주택,3000/55,https://www.peterpanz.com/house/11784321
서울특별시 관악구 신림동,11781131,126.930891040321,37.4870014695458,18,현관보안 / CCTV / 비디오폰 / 방범창,39.66,전세,단독주택,2억1000,https://www.peterpanz.com/house/11781131
서울특별시 강서구 화곡동,11784318,126.854054721465,37.535485995662,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,54.33,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784318
서울특별시 영등포구 신길동,11781121,126.917886885621,37.4981333782237,18,현관보안 / CCTV / 인터폰 / 방범창,23.14,전세,단독주택,8000,https://www.peterpanz.com/house/11781121
서울특별시 양천구 신월동,11781116,126.8274749012,37.530163844026,2,-,43.38,월세,공동주택,1억3000/20,https://www.peterpanz.com/house/11781116
서울특별시 양천구 신월동,11781087,126.827841686173,37.5414618875617,9,CCTV / 인터폰,36.04,전세,공동주택,2억2000,https://www.peterpanz.com/house/11781087
서울특별시 강서구 공항동,11784315,126.809954474946,37.5573812061315,20,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,41.14,전세,제2종 근린생활시설,1억3000,https://www.peterpanz.com/house/11784315
서울특별시 강서구 화곡동,11781084,126.854317590717,37.5306969630032,21,현관보안 / CCTV / 인터폰 / 비디오폰 / 방범창,24.83,전세,공동주택,2억1500,https://www.peterpanz.com/house/11781084
서울특별시 강서구 화곡동,11784314,126.85138347302,37.545293237205,8,현관보안,47.06,전세,공동주택,1억5000,https://www.peterpanz.com/house/11784314
서울특별시 관악구 신림동,11781083,126.94207146145,37.469899410768,12,현관보안 / CCTV,19.83,월세,단독주택,300/30,https://www.peterpanz.com/house/11781083
서울특별시 광진구 중곡동,11781069,127.090543311734,37.5551619805416,6,CCTV,19.83,전세,단독주택,9000,https://www.peterpanz.com/house/11781069
서울특별시 양천구 신월동,11784313,126.834936992727,37.5322259615271,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,43.89,전세,공동주택,1억8000,https://www.peterpanz.com/house/11784313
서울특별시 강서구 화곡동,11781064,126.849057600345,37.5330375535924,17,현관보안 / CCTV / 인터폰 / 비디오폰,24.1,전세,공동주택,2억4500,https://www.peterpanz.com/house/11781064
서울특별시 양천구 신월동,11784312,126.832469123525,37.5318155046343,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,51.66,전세,공동주택,1억2000,https://www.peterpanz.com/house/11784312
서울특별시 금천구 가산동,11781057,126.889982184339,37.4784569202127,17,현관보안 / CCTV / 인터폰 / 비디오폰,23.14,전세,공동주택,1억8800,https://www.peterpanz.com/house/11781057
서울특별시 금천구 독산동,11781039,126.896717522782,37.46377788562,15,현관보안 / CCTV / 인터폰,25.22,전세,공동주택,2억4150,https://www.peterpanz.com/house/11781039
서울특별시 강서구 화곡동,11781028,126.849057600345,37.5330375535924,17,현관보안 / CCTV / 인터폰 / 비디오폰,27.42,전세,공동주택,3억2500,https://www.peterpanz.com/house/11781028
서울특별시 강서구 화곡동,11781026,126.846521482538,37.535128389248,17,현관보안 / CCTV / 인터폰 / 비디오폰,13.73,전세,공동주택,1억8000,https://www.peterpanz.com/house/11781026
서울특별시 강서구 화곡동,11781023,126.8519639492,37.534726425076,18,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,42.79,전세,공동주택,1억7000,https://www.peterpanz.com/house/11781023
서울특별시 금천구 독산동,11781014,126.88809863665,37.471733829918,26,현관보안 / CCTV / 비디오폰 / 방범창 / 자체경비원,36.36,전세,공동주택,2억6000,https://www.peterpanz.com/house/11781014
서울특별시 관악구 신림동,11781003,126.90171737005,37.483282042484,26,현관보안 / CCTV / 인터폰 / 비디오폰 / 방범창 / 자체경비원,24,월세,미등기건물,1000/75,https://www.peterpanz.com/house/11781003
서울특별시 강서구 화곡동,11780981,126.845451890289,37.5418985452967,10,현관보안 / 인터폰,29.88,전세,공동주택,2억9500,https://www.peterpanz.com/house/11780981
